"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"01010100";"";"1";"Halden vest";;""
"01010102";"01010100";"2";"Båstadlund";;""
"01010103";"01010100";"2";"Låby";;""
"01010104";"01010100";"2";"Stangeløkka";;""
"01010105";"01010100";"2";"Refne/Banken";;""
"01010107";"01010100";"2";"Remmen";;""
"01010108";"01010100";"2";"Refne";;""
"01010109";"01010100";"2";"Brekkerød";;""
"01010110";"01010100";"2";"Karrestad";;""
"01010200";"";"1";"Halden øst";;""
"01010201";"01010200";"2";"Strupe/Frydenlund";;""
"01010202";"01010200";"2";"Stenrød/Tosterød";;""
"01010203";"01010200";"2";"Grimsrød";;""
"01010204";"01010200";"2";"Brødløs";;""
"01010205";"01010200";"2";"Gimle";;""
"01010206";"01010200";"2";"Os";;""
"01010208";"01010200";"2";"Grimsrødhøyda";;""
"01010209";"01010200";"2";"Porsnes";;""
"01010210";"01010200";"2";"Fosseløkka";;""
"01010300";"";"1";"Halden syd";;""
"01010301";"01010300";"2";"Sydsiden";;""
"01010302";"01010300";"2";"Knardal";;""
"01010303";"01010300";"2";"Sommerro";;""
"01010304";"01010300";"2";"Sofienlund";;""
"01010305";"01010300";"2";"Hov";;""
"01010400";"";"1";"Tistedalsområdet";;""
"01010401";"01010400";"2";"Veden";;""
"01010402";"01010400";"2";"Chatrineholm";;""
"01010403";"01010400";"2";"Skanseløkka";;""
"01010404";"01010400";"2";"Gran";;""
"01010405";"01010400";"2";"Tangen/Orød";;""
"01010406";"01010400";"2";"Vold-Skog";;""
"01010407";"01010400";"2";"Erte";;""
"01010500";"";"1";"Berg/Sponviken";;""
"01010501";"01010500";"2";"Sponviken";;""
"01010502";"01010500";"2";"Svalerød/Røsnæs";;""
"01010503";"01010500";"2";"Huseby/Lundestad";;""
"01010600";"";"1";"Rokke/Asak";;""
"01010601";"01010600";"2";"Rokke";;""
"01010602";"01010600";"2";"Bunes";;""
"01010603";"01010600";"2";"Torpedalen";;""
"01010604";"01010600";"2";"Håkaby";;""
"01010700";"";"1";"Hovelsrød/Aspedammen";;""
"01010701";"01010700";"2";"Iddesletta";;""
"01010702";"01010700";"2";"Aspedammen";;""
"01010703";"01010700";"2";"Ør";;""
"01010704";"01010700";"2";"Bakke/Sanderød";;""
"01010800";"";"1";"Prestebakke/Kornsjø/Holtet";;""
"01010801";"01010800";"2";"Buer";;""
"01010802";"01010800";"2";"Prestebakke";;""
"01010803";"01010800";"2";"Kornsjø";;""
"01010804";"01010800";"2";"Enningdalen";;""
"01040100";"";"1";"Sydvestre Jeløy";;""
"01040101";"01040100";"2";"Bergersborg";;""
"01040102";"01040100";"2";"Refsnes 1";;""
"01040103";"01040100";"2";"Refsnes 2";;""
"01040104";"01040100";"2";"Refsnes 3";;""
"01040105";"01040100";"2";"Refsnes 4";;""
"01040106";"01040100";"2";"Refsnes 5";;""
"01040107";"01040100";"2";"Tronvikskogen";;""
"01040108";"01040100";"2";"Tronvik";;""
"01040109";"01040100";"2";"Søndre Jeløy";;""
"01040200";"";"1";"Nordre Jeløy";;""
"01040201";"01040200";"2";"Mossesundet vest";;""
"01040202";"01040200";"2";"Krossern/Rosnes 1";;""
"01040203";"01040200";"2";"Krossern/Rosnes 2";;""
"01040204";"01040200";"2";"Balaklava";;""
"01040205";"01040200";"2";"Orkerød Hageby 1";;""
"01040206";"01040200";"2";"Bellevue/Helgerød";;""
"01040207";"01040200";"2";"Hoppern/Torderød";;""
"01040208";"01040200";"2";"Varden";;""
"01040209";"01040200";"2";"Orkerød Hageby 2";;""
"01040210";"01040200";"2";"Refsnesskogen 1";;""
"01040211";"01040200";"2";"Refsnesskogen 2";;""
"01040212";"01040200";"2";"Ramberg/Orkerød";;""
"01040213";"01040200";"2";"Orkerød";;""
"01040214";"01040200";"2";"Kjellandsvik";;""
"01040215";"01040200";"2";"Ramberg";;""
"01040216";"01040200";"2";"Nordre Jeløy";;""
"01040300";"";"1";"Sydøstre Jeløy";;""
"01040301";"01040300";"2";"Fiske";;""
"01040302";"01040300";"2";"Grimsrød/Vårli";;""
"01040303";"01040300";"2";"Grimsrød 2";;""
"01040304";"01040300";"2";"Hoppern/Grimsrød";;""
"01040305";"01040300";"2";"Bråten";;""
